Corrente,2610.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2510.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
Corrente,2410.0,49281656833
Poupança,4152.0,74582658395
Corrente,90.0,4756832699
